ID,D,T,AtmPr,WindD,WindS,Gust,WaveH,WaveP,WaveD,Hmax,AirT,SeaT,Hum,Code
A2,48,0,1010.217,339,1.935,2.732,0.234,3.281,166,0.0,8.945,9.1,94.141,0.0
A2,48,1,1009.973,307,2.391,2.96,0.234,3.047,103,0.0,8.848,9.071,94.043,0.0
A2,48,2,1009.705,354,3.871,5.009,0.234,2.93,105,0.0,9.043,9.245,94.336,0.0
A2,48,3,1009.204,31,3.188,3.985,0.313,3.164,107,0.0,9.092,9.168,94.336,0.0
A2,48,4,1008.679,335,3.188,4.44,0.234,3.164,103,0.0,8.994,9.095,94.727,0.0
A2,48,5,1008.264,354,9.677,11.157,0.234,3.281,115,0.0,9.043,9.104,90.332,0.0
A2,48,6,1008.081,356,9.563,14.231,0.234,3.281,127,0.0,8.848,9.078,90.234,0.0
A2,48,7,1008.374,20,10.019,13.32,0.234,3.164,4,0.0,8.652,9.088,90.234,0.0
A2,48,8,1008.716,41,14.459,17.646,0.313,3.633,3,0.469,7.383,9.08,88.77,0.0
A2,48,9,1008.569,45,14.8,17.646,0.391,3.516,45,0.469,7.383,9.086,87.402,0.0
A2,48,10,1008.716,32,14.914,18.443,0.703,3.75,10,1.094,7.334,9.089,87.695,0.0
A2,48,11,1008.765,32,14.231,19.013,1.25,4.219,24,1.563,7.285,9.102,87.207,0.0
A2,48,12,1008.96,31,13.092,16.736,1.406,4.102,39,2.031,6.602,9.099,85.84,0.0
A2,48,13,1008.984,43,14.345,18.329,1.328,3.984,48,1.719,6.699,9.12,83.887,0.0
A2,48,14,1009.204,44,15.256,18.785,1.172,3.867,58,1.719,6.26,9.102,82.617,0.0
A2,48,15,1009.338,27,13.776,18.899,1.25,3.75,75,1.719,6.162,9.139,79.98,0.0
A2,48,16,1009.46,30,13.776,21.29,1.406,3.984,72,1.875,6.406,9.109,76.66,0.0
A2,48,17,1009.424,23,16.963,22.086,1.172,3.75,60,1.406,6.553,9.097,73.145,0.0
A2,48,18,1009.998,40,23.453,30.511,1.094,3.867,41,1.563,5.869,9.082,77.051,0.0
A2,48,19,1010.547,54,25.843,32.56,1.406,4.688,28,2.813,5.723,9.066,73.535,0.0
A2,48,20,1011.34,60,22.314,30.056,1.953,5.625,18,2.969,5.723,9.071,71.484,0.0
A2,48,21,1011.89,46,21.973,27.096,1.953,5.742,15,2.969,6.162,9.069,59.18,0.0
A2,48,22,1012.183,35,21.859,27.323,1.797,5.273,28,2.344,6.162,9.067,56.543,0.0
A2,48,23,1012.83,55,17.76,25.616,1.953,5.156,38,3.125,4.648,9.073,69.629,0.0
A2,49,0,1013.086,25,18.216,25.388,1.953,4.805,45,3.125,5.625,9.099,65.918,0.0
A2,49,1,1013.708,22,16.053,25.73,1.875,4.57,56,2.813,5.234,9.077,65.234,0.0
A2,49,2,1014.038,23,16.622,24.933,1.953,4.453,60,3.281,4.893,9.067,65.039,0.0
A2,49,3,1014.282,22,16.963,25.046,1.953,4.57,62,2.813,4.844,9.051,66.699,0.0
A2,49,4,1014.722,26,17.874,27.323,1.875,4.453,62,2.813,4.697,9.045,61.23,0.0
A2,49,5,1015.161,33,19.013,27.21,1.875,4.57,51,2.969,4.502,9.047,62.305,0.0
A2,49,6,1015.613,27,20.72,27.096,1.953,4.922,39,2.656,4.6,9.036,68.555,0.0
A2,49,7,1016.211,24,22.77,28.917,1.953,5.156,25,2.813,4.746,9.044,67.871,0.0
A2,49,8,1017.09,28,22.542,27.437,1.953,5.625,17,2.656,4.551,9.051,67.676,0.0
A2,49,9,1017.749,33,20.834,26.526,1.875,5.625,20,2.5,4.893,9.053,70.313,0.0
A2,49,10,1018.555,27,17.76,22.883,2.031,5.859,20,3.281,4.99,9.069,62.695,0.0
A2,49,11,1018.945,18,16.963,22.542,2.109,5.273,30,3.438,5.186,9.082,61.426,0.0
A2,49,12,1019.202,13,14.914,21.062,2.109,5.039,42,3.438,5.332,9.097,59.961,0.0
A2,49,13,1019.177,6,13.889,20.72,1.797,4.453,48,2.813,5.43,9.111,61.816,0.0
A2,49,14,1019.275,357,13.548,19.696,1.563,4.219,51,2.344,5.527,9.137,59.473,0.0
A2,49,15,1019.409,358,13.32,19.126,1.484,3.984,55,1.875,6.016,9.097,63.574,0.0
A2,49,16,1019.214,4,13.548,19.126,1.328,3.984,52,1.875,6.162,9.12,60.059,0.0
A2,49,17,1019.287,350,16.849,22.542,1.172,3.75,34,1.406,6.699,9.055,54.102,0.0
A2,49,18,1019.543,5,15.939,20.606,1.172,3.867,24,1.563,7.041,9.036,51.27,0.0
A2,49,19,1019.8,5,18.102,21.631,1.016,3.984,17,1.719,7.09,9.042,54.883,0.0
A2,49,20,1020.203,1,19.126,23.225,1.094,4.453,347,1.25,7.139,9.062,54.59,0.0
A2,49,21,1020.679,65,19.809,24.363,1.406,5.039,353,2.031,5.527,9.056,78.711,0.0
A2,49,22,1021.13,332,13.662,18.557,1.406,5.273,1,2.031,4.795,9.071,66.699,0.0
A2,49,23,1021.179,30,20.265,24.363,1.328,4.805,6,1.875,3.77,9.049,81.836,0.0
A2,50,0,1021.069,27,4.554,17.76,1.328,4.453,11,2.031,4.844,9.045,73.438,0.0
A2,50,1,1020.764,326,15.028,21.062,1.563,4.336,23,2.188,5.576,9.078,69.824,0.0
A2,50,2,1020.984,349,13.662,19.013,1.406,3.984,27,2.031,6.016,9.073,68.457,0.0
A2,50,3,1021.472,19,11.726,16.622,1.172,3.633,17,1.875,5.967,9.029,66.309,0.0
A2,50,4,1021.887,9,13.434,18.443,1.016,3.398,42,1.406,5.967,9.036,62.598,0.0
A2,50,5,1022.4,7,14.573,20.379,1.094,3.633,45,1.563,5.625,8.994,61.719,0.0
A2,50,6,1022.9,11,17.419,22.314,1.094,3.633,46,1.406,5.43,9.014,62.598,0.0
A2,50,7,1023.267,10,17.874,22.656,1.016,3.75,17,1.406,5.625,8.979,56.445,0.0
A2,50,8,1023.706,8,16.166,19.582,0.938,4.102,6,1.25,5.43,9.022,67.578,0.0
A2,50,9,1023.95,11,11.271,16.736,1.016,4.688,3,1.563,5.674,9.058,63.477,0.0
A2,50,10,1024.231,351,14.345,18.671,0.938,4.805,6,1.406,5.625,9.075,62.5,0.0
A2,50,11,1024.304,344,13.434,17.419,1.016,4.453,357,1.406,5.576,9.071,63.086,0.0
A2,50,12,1024.402,352,12.296,16.053,1.172,4.219,15,1.563,5.576,9.082,56.445,0.0
A2,50,13,1024.243,341,10.36,14.573,1.172,3.867,20,1.719,5.576,9.131,58.008,0.0
A2,50,14,1024.255,325,9.563,12.865,1.172,3.75,34,1.719,5.967,9.179,52.344,0.0
A2,50,15,1024.036,316,8.083,10.702,0.938,3.633,62,1.094,6.26,9.152,57.422,0.0
A2,50,16,1023.962,308,10.474,14.117,0.859,3.633,58,0.938,6.357,9.144,57.324,0.0
A2,50,17,1023.865,309,8.425,11.954,0.625,3.398,66,0.781,5.332,9.073,75.879,0.0
A2,50,18,1023.743,290,9.791,11.499,0.625,3.398,66,0.781,4.99,9.029,82.52,0.0
A2,50,19,1023.621,289,9.563,11.499,0.547,3.398,32,0.625,5.674,8.969,85.547,0.0
A2,50,20,1023.474,332,11.499,13.434,0.469,3.281,326,0.625,6.26,9.003,80.176,0.0
A2,50,21,1023.181,320,12.865,15.711,0.547,3.398,300,0.781,6.797,9.022,79.395,0.0
A2,50,22,1023.035,329,14.459,18.785,0.625,3.75,315,0.938,7.188,9.06,80.176,0.0
A2,50,23,1022.705,316,15.597,21.29,0.859,3.984,318,1.25,7.041,9.053,79.004,0.0
A2,51,0,1022.705,319,14.8,18.785,0.938,3.867,323,1.25,6.992,9.029,79.199,0.0
A2,51,1,1022.729,318,15.256,20.151,1.094,3.633,321,1.875,6.846,9.033,79.785,0.0
A2,51,2,1022.546,317,15.711,20.948,1.016,3.516,340,1.563,6.748,9.066,79.883,0.0
A2,51,3,1022.449,321,16.053,20.265,0.938,3.398,326,1.25,6.748,9.044,81.348,0.0
A2,51,4,1022.388,315,15.939,19.923,0.859,3.398,335,1.094,6.846,9.022,83.008,0.0
A2,51,5,1022.51,325,13.662,16.736,0.859,3.281,321,1.094,6.748,8.959,80.078,0.0
A2,51,6,1022.632,337,10.474,14.573,0.781,3.281,328,0.938,5.918,8.919,83.887,0.0
A2,51,7,1022.876,326,13.662,16.849,0.781,3.398,332,0.938,6.65,8.93,80.273,0.0
A2,51,8,1023.108,332,15.028,17.988,0.703,3.633,328,0.938,6.943,8.987,77.539,0.0
A2,51,9,1023.303,333,14.459,17.988,0.859,3.984,316,1.563,6.992,9.025,76.563,0.0
A2,51,10,1023.621,28,11.043,14.459,0.859,4.336,335,1.406,6.65,9.069,78.613,0.0
A2,51,11,1023.73,4,12.979,18.671,0.938,4.336,330,1.25,6.748,9.069,77.344,0.0
A2,51,12,1024.036,28,11.043,14.003,0.938,4.102,336,1.406,6.943,9.095,69.629,0.0
A2,51,13,1024.414,33,8.994,11.954,1.016,3.867,3,1.406,6.748,9.139,70.996,0.0
A2,51,14,1024.719,23,8.425,11.271,0.938,3.516,18,1.25,6.504,9.177,72.07,0.0
A2,51,15,1024.976,38,10.019,13.206,0.859,3.281,28,0.938,6.455,9.221,73.145,0.0
A2,51,16,1025.342,47,11.499,14.573,0.703,3.164,51,0.938,6.65,9.183,71.582,0.0
A2,51,17,1025.806,45,12.068,16.053,0.625,3.047,42,0.781,6.846,9.115,65.43,0.0
A2,51,18,1026.282,36,7.969,12.637,0.469,2.93,72,0.625,6.943,9.009,66.016,0.0
A2,51,19,1026.709,48,10.816,14.459,0.469,2.93,69,0.625,7.041,8.961,68.75,0.0
A2,51,20,1027.246,60,11.726,14.003,0.469,2.93,52,0.625,6.992,8.967,70.313,0.0
A2,51,21,1027.673,60,9.905,12.751,0.391,2.93,51,0.469,7.188,9.016,60.938,0.0
A2,51,22,1027.747,63,9.336,11.157,0.391,3.164,48,0.469,7.139,9.036,68.555,0.0
A2,51,23,1028.064,58,6.603,8.083,0.469,3.633,32,0.469,7.188,9.058,68.945,0.0
A2,52,0,1028.101,37,4.554,6.489,0.391,3.398,38,0.625,7.285,9.02,62.5,0.0
A2,52,1,1028.088,3,5.123,6.489,0.469,3.164,44,0.469,7.285,9.029,68.457,0.0
A2,52,2,1028.162,355,4.668,6.945,0.469,3.164,63,0.625,7.285,9.033,71.973,0.0
A2,52,3,1028.174,328,3.529,4.782,0.391,2.93,82,0.469,7.041,9.036,68.848,0.0
A2,52,4,1028.113,307,4.668,6.831,0.391,2.93,86,0.469,6.895,9.025,66.406,0.0
A2,52,5,1028.088,305,6.717,8.311,0.391,2.813,94,0.469,6.895,8.976,66.797,0.0
A2,52,6,1028.076,302,7.4,10.702,0.313,2.813,110,0.313,6.943,8.904,71.191,0.0
A2,52,7,1028.223,308,10.019,13.092,0.313,2.93,103,0.0,6.65,8.912,74.902,0.0
A2,52,8,1028.137,289,9.563,12.409,0.313,2.813,323,0.469,6.65,8.961,69.824,0.0
A2,52,9,1028.027,282,11.271,14.459,0.391,2.813,301,0.313,6.748,9.042,70.996,0.0
A2,52,10,1027.747,277,11.385,13.092,0.391,3.164,285,0.469,6.699,9.089,73.438,0.0
A2,52,11,1027.087,277,12.296,14.231,0.391,3.164,291,0.469,6.748,9.104,72.852,0.0
A2,52,12,1026.526,277,10.474,13.32,0.547,3.164,283,0.625,7.09,9.15,70.508,0.0
A2,52,13,1025.94,254,7.855,10.702,0.547,3.047,304,0.781,7.627,9.175,67.969,0.0
A2,52,14,1025.305,268,6.603,8.197,0.469,2.93,307,0.625,8.359,9.197,65.723,0.0
A2,52,15,1024.475,208,12.296,14.686,0.391,2.813,309,0.625,8.164,9.276,69.238,0.0
A2,52,16,1023.474,201,14.8,17.419,0.391,2.813,256,0.469,8.164,9.186,70.605,0.0
A2,52,17,1022.705,190,16.053,19.126,0.469,3.164,235,0.469,8.311,9.12,68.945,0.0
A2,52,18,1021.753,195,16.053,19.24,0.625,3.75,204,0.938,8.652,9.108,80.176,0.0
A2,52,19,1020.813,209,11.499,15.028,0.859,3.984,197,1.094,9.141,9.029,83.594,0.0
A2,52,20,1020.068,252,12.068,15.256,0.781,3.516,184,0.938,10.068,9.049,70.41,0.0
A2,52,21,1019.165,251,18.102,23.908,0.781,3.164,194,0.938,9.238,9.082,81.836,0.0
A2,52,22,1018.103,250,18.671,22.883,0.859,3.164,225,1.094,9.141,9.088,86.035,0.0
A2,52,23,1016.992,258,19.809,24.705,1.25,3.633,246,1.875,8.945,9.058,89.355,0.0
A2,53,0,1016.284,267,18.785,24.363,1.328,3.867,231,1.563,9.141,9.093,91.699,0.0
